MEDIA BUYER'S TRACKER,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
LIVESTREAM DATE,TALENT'S NAME,FORMAT,LINK,VIEWS,,,,
2/20/2026,H2WO,Livestream,https://www.facebook.com/share/v/1LbXBt2WnQ/,"230,000",,,,
2/21/2026,H2WO,Livestream,https://www.facebook.com/share/v/1Jo6PhEucb/,"201,000",,,,
2/21/2026,H2WO,Livestream,https://www.facebook.com/share/v/1EGUZBmXh6/,"213,000",,,,
2/22/2026,H2WO,Livestream,https://www.facebook.com/share/v/1Ff8hZaoHW/,"273,000",,,,
2/23/2026,H2WO,Livestream,https://www.facebook.com/share/v/1BJeFMShGh/,"265,000",,,,
2/24/2026,H2WO,Livestream,https://www.facebook.com/share/v/1FHSVg2PJi/,"225,000",,,,
2/24/2026,H2WO,Livestream,https://www.facebook.com/share/v/19ehNFwDLo/,"366,000",,,,
2/25/2026,H2WO,Livestream,https://www.facebook.com/share/v/1biooFnt9h/,"205,000",,,,
2/26/2026,H2WO,Livestream,https://www.facebook.com/share/v/1DPaWrQNH4/,"223,000",,,,
2/26/2026,H2WO,Livestream,https://www.facebook.com/share/v/1DPRphcfdm/,"189,000",,,,
2/27/2026,H2WO,Livestream,https://www.facebook.com/share/v/14V6yB9ptpJ/,"174,000",,,,
2/27/2026,H2WO,Livestream,https://www.facebook.com/share/v/1AVaUmC4xS/,"321,000",,,,
2/1/2026,YUJI,Livestream,https://www.facebook.com/share/v/186DZQyHo9/,"9,700",,,,
2/2/2026,YUJI,Livestream,https://www.facebook.com/share/v/18B5fYteRm/,"14,000",,,,
2/3/2026,YUJI,Livestream,https://www.facebook.com/share/v/185Fv9yZJe/,"10,000",,,,
2/4/2026,YUJI,Livestream,https://www.facebook.com/share/v/1LofSMK3yy/,"6,500",,,,
2/5/2026,YUJI,Livestream,https://www.facebook.com/share/v/1CFbDSngqa/,"10,000",,,,
2/6/2026,YUJI,Livestream,https://www.facebook.com/share/v/1CGT7NenyN/,"8,600",,,,
2/11/2026,YUJI,Livestream,https://www.facebook.com/share/v/1aC9y6wRvS/,"12,000",,,,
2/13/2026,YUJI,Livestream,https://www.facebook.com/share/v/1X7rPz3uob/,"10,000",,,,
2/14/2026,YUJI,Livestream,https://www.facebook.com/share/v/1DpFyfY2AU/,"8,900",,,,
2/15/2026,YUJI,Livestream,https://www.facebook.com/share/v/17LKewD84M/,"9,600",,,,
2/16/2026,YUJI,Livestream,https://www.facebook.com/share/v/1CRV9qVMBB/,"11,000",,,,
2/17/2026,YUJI,Livestream,https://www.facebook.com/share/v/1Gqq7dDT7A/,"33,000",,,,
2/18/2026,YUJI,Livestream,https://www.facebook.com/share/v/1LHCgemH4S/,"9,400",,,,
