MEDIA BUYER'S TRACKER,,,,,,,TALENT MANAGER'S TRACKER,,,,,,DELIVERABLES TRACKER,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
LIVESTREAM DATE,TALENT'S NAME,FORMAT,LIVESTREAM LINK,AD TRACKING LINK,COST,,TALENT'S NAME,DATE,TIME,,,,TALENT'S NAME,REELS,LIVESTREAM
2/17/2026,Holy Father,Livestream,https://www.facebook.com/100084497334397/videos/1493202355759004,https://wfl-88.net/r/HolyfatherAD/reg,"₱2,000.00",,HolyFather,2/18/2026,1:13 PM,,,,,,
2/17/2026,Neggy,Livestream,https://www.facebook.com/NeggyTvOfficial/videos/1573657753854289,https://wfl-88.net/r/NeggyAD/reg,"₱2,000.00",,Boss Wrecker,2/18/2026,9:55 PM,,,,,,
2/17/2026,Jasoon,Livestream,https://www.facebook.com/itsmeJ4soon/videos/1609581016712190,https://wfl-88.net/r/JasoonAD/reg,"₱3,000.00",,Jasoon,2/19/2026,1:05 PM,,,,,,
2/17/2026,Holy Father,Livestream,https://www.facebook.com/100084497334397/videos/2284671212054231,https://wfl-88.net/r/HolyfatherAD/reg,"₱3,000.00",,HolyFather,2/19/2026,3:47 PM,,,,,,
2/19/2026,Jasoon,Livestream,https://www.facebook.com/itsmeJ4soon/videos/2053062885269958,https://wfl-88.net/r/JasoonAD/reg,"₱15,000.00",,Aether,2/19/2026,4:26 PM,,,,,,
2/19/2026,Jasoon,Reels,https://www.facebook.com/reel/842299848816687,https://wfl-88.net/r/JASOONREELS/reg,₱0.00,,NeggyTv,2/19/2026,5:10 PM,,,,,,
2/19/2026,Holy Father,Livestream,https://www.facebook.com/100084497334397/videos/896441093189490,https://wfl-88.net/r/HolyfatherAD/reg,"₱15,000.00",,Boss Wrecker,2/19/2026,7:30 PM,,,,,,
2/19/2026,Aether,Livestream,https://www.facebook.com/TeamAetherEsports/videos/1441190814221807,https://wfl-88.net/r/WoolfybetsAD/reg,"₱6,000.00",,NeggyTv,2/19/2026,11:01 PM,,,,,,
2/19/2026,Neggy,Livestream,https://www.facebook.com/NeggyTvOfficial/videos/25969226452749054/,https://wfl-88.net/r/NeggyAD/reg,"₱5,000.00",,HolyFather,2/20/2026,11:25 AM,,,,,,
2/19/2026,Ghost Wrecker,Livestream,https://www.facebook.com/bosswrecker/videos/1637630127255481,https://wfl-88.net/r/WreckerAD/reg,"₱35,000.00",,NeggyTv,2/20/2026,1:44 PM,,,,,,
2/20/2026,Holy Father,Livestream,https://www.facebook.com/100084497334397/videos/940907548408173/,https://wfl-88.net/r/HolyfatherAD/reg,₱0.00,,NeggyTv,2/20/2026,6:07 PM,,,,,,
2/20/2026,Jasoon,Reels,https://www.facebook.com/reel/1748049056170928,https://wfl-88.net/r/JASOONREELS/reg,₱0.00,,NeggyTv,2/21/2026,2:43 PM,,,,,,
2/20/2026,Aether,Reels,https://www.facebook.com/reel/905983858816095,https://wfl-88.net/r/WOOLFYBETSREELS/reg,"₱4,000.00",,Boss Wrecker,2/21/2026,8:16 PM,,,,,,
2/20/2026,Neggy,Livestream,https://www.facebook.com/NeggyTvOfficial/videos/1335162685040587/,https://wfl-88.net/r/NeggyAD/reg,₱0.00,,Aether,2/21/2026,11:54 PM,,,,,,
2/21/2026,Aether,Livestream,https://www.facebook.com/TeamAetherEsports/videos/1469894714791070,https://wfl-88.net/r/WoolfybetsAD/reg,₱0.00,,Jasoon,2/22/2026,1:37 PM,,,,,,
2/22/2026,Jasoon,Livestream,https://www.facebook.com/itsmeJ4soon/videos/1084042223886702,https://wfl-88.net/r/JasoonAD/reg,₱0.00,,HolyFather,2/22/2026,5:30 PM,,,,,,
2/22/2026,Holy Father,Livestream,https://www.facebook.com/100084497334397/videos/3614493192027161,https://wfl-88.net/r/HolyfatherAD/reg,"₱15,000.00",,Boss Wrecker,2/22/2026,6:40 PM,,,,,,
2/22/2026,Ghost Wrecker,Livestream,https://www.facebook.com/61571307990071/videos/2902481506623071,https://wfl-88.net/r/WreckerAD/reg,₱0.00,,Aether,2/22/2026,6:41 PM,,,,,,
,,,,,,,NeggyTv,2/22/2026,21:10,,,,,,
