,,,,,,,,,
CHADKINIS&LP : END OF DAY REPORT ,,,,,,,,,
,,,,,,,,,
DAY,REGISTER,ACTIVE PL,VALID TURNOVER,WIN/LOSS,BONUS,NGR,TOTAL DEPOSIT,TOTAL WITHDRAWAL,STATUS
04 Feb 2026,4,77,"701,520","-41,696","8,543","-33,153","85,305","-54,977",SUCCESS
05 Feb 2026,18,87,"1,096,727","-48,734","5,531","-43,203","140,244","-56,456",SUCCESS
06 Feb 2026,23,76,"801,203","-97,207","1,509","-95,699","137,111","-66,803",SUCCESS
07 Feb 2026,15,68,"623,610","-23,565",791,"-22,774","115,664","-88,442",SUCCESS
08 Feb 2026,11,53,"507,192","-113,788",744,"-113,044","125,521","-31,954",SUCCESS
09 Feb 2026,7,63,"315,221","-59,118","3,512","-55,605","87,214","-20,001",SUCCESS
10 Feb 2026,2,60,"849,412","19,505 ","8,196","27,701 ","65,275","-85,751",SUCCESS
11 Feb 2026,3,60,"698,004","-31,155","1,211","-29,944","143,350","-36,384",SUCCESS
12 Feb 2026,4,63,"675,963","-13,359","4,660","-8,699","42,592","-118,700",SUCCESS
13 Feb 2026,31,66,"619,994","-34,728","1,332","-33,396","77,611","-41,530",SUCCESS
14 Feb 2026,55,80,"270,844","-29,052","1,901","-27,151","50,976","-20,394",SUCCESS
15 Feb 2026,74,88,"487,024","-9,384","5,369","-4,015","69,319","-61,965",SUCCESS
16 Feb 2026,16,72,"513,132","-23,571","3,031","-20,540","74,007","-52,913",SUCCESS
17 Feb 2026,8,69,"646,190","49,317 ","4,836","54,153 ","67,596","-97,387",SUCCESS
18 Feb 2026,6,52,"329,871","-57,391",378,"-57,013","91,947","-63,987",SUCCESS
19 Feb 2026,8,56,"416,548","-49,610",867,"-48,744","49,735","-15,058",SUCCESS
20 Feb 2026,22,63,"345,762","42,494 ","4,458","46,952 ","62,195","-102,338",SUCCESS
21 Feb 2026,17,68,"454,263","-30,632","2,424","-28,208","61,117","-20,702",SUCCESS
22 Feb 2026,1,71,"478,211","-43,124",476,"-42,647","70,533","-51,174",SUCCESS
23 Feb 2026,3,65,"345,232","13,123 ","1,559","14,682 ","62,669","-40,292",SUCCESS
24 Feb 2026,9,66,"836,911","-116,028","1,405","-114,623","138,075","-43,041",SUCCESS
25 Feb 2026,3,59,"352,490","-18,859",968,"-17,892","69,504","-54,547",SUCCESS
26 Feb 2026,2,59,"298,923","-20,980",998,"-19,981","57,491","-14,743",PENDING
27 Feb 2026,,,,,,0 ,,,PENDING
28 Feb 2026,,,,,,0 ,,,PENDING
01 Mar 2026,,,,,,0 ,,,PENDING
02 Mar 2026,,,,,,0 ,,,PENDING
03 Mar 2026,,,,,,0 ,,,PENDING
04 Mar 2026,,,,,,0 ,,,PENDING
05 Mar 2026,,,,,,0 ,,,PENDING
06 Mar 2026,,,,,,0 ,,,PENDING
07 Mar 2026,,,,,,0 ,,,PENDING
08 Mar 2026,,,,,,0 ,,,PENDING
,TOTAL REGISTER,TOTAL ACTIVE PL,TOTAL VTO,TOTAL GGR,TOTAL FTD BONUS,TOTAL NGR,TOTAL DEPOSIT,TOTAL WITHDRAWAL,OVERALL STATUS
SAINTYYY,355,"1,703","14,089,342","-738,615","91,342","-647,273","2,115,861","-1,420,997",96.00%
,,,,,,,,,
CHADLP :  END OF DAY REPORT ,,,,,,,,,
,,,,,,,,,
DAY,REGISTER,ACTIVE PL,VALID TURNOVER,WIN/LOSS,BONUS,NGR,TOTAL DEPOSIT,TOTAL WITHDRAWAL,STATUS
02 Feb 2026,13,20,"2,162,991","58,190 ","6,383","64,573 ","126,660","-91,500",SUCCESS
03 Feb 2026,19,22,"1,464,158","-177,104","2,396","-174,708","181,457","-82,714",SUCCESS
04 Feb 2026,5,12,"1,110,483","57,777 ","3,130","60,907 ","53,930","-80,925",SUCCESS
05 Feb 2026,6,16,"1,737,621","-142,046",426,"-141,620","91,641","-15,220",SUCCESS
06 Feb 2026,7,14,"542,574","33,281 ",292,"33,573 ","66,680","-49,897",SUCCESS
07 Feb 2026,10,13,"1,295,211","-111,595",10,"-111,585","109,046","-23,250",SUCCESS
